duid,publishdate,sourcename,heading,bodytext
e594e202,2016-02-23,Wikipedia News,Børsbroen,"broerne til slotsholmen forbinder øen slotsholmen i københavn med det øvrige københavn på sjælland og amager. der er ni broer, hvoraf kun den ene går til amager.
de ni broer er (fra vest over nord til øst): bryghusbroen, prinsens bro, marmorbroen, stormbroen, højbro, holmens bro, børsbroen, christian iv's bro og knippelsbro.
en tiende bro, røde bro, blev nedlagt i 1726. til gengæld blev der opført en midlertidig unavngiven bro ved bryghuspladsen i 2016.

bryghusbroen
bryghusbroen er en klapbro, der fører christians brygge over den yderste ende af frederiksholms kanal i umiddelbar nærhed af christian 4.s bryghus.
broen blev opført i 1935 og fik sit nuværende navn i 1963. oprindeligt førte den også jernbanesporet fra københavns havnebane over kanalen, men sporene blev fjernet i 1972. broen er ca. 32 meter lang med et klapfag på 11 meter og et sidefag på 8 meter.
55°40′20.7″n 12°34′47.7″ø

midlertidig bro
i 2016 blev der opført en midlertidig fodgængerbro uden navn ved bryghuspladsen, tidligere bryghusgade. årsagen var, at byggeriet af blox henover christians brygge havde spærret adgangen til bryghusbroen, når man kom ad frederiksholms kanal. den 30 meter lange bro blev opført af realdania.
ved etableringen var det forventet, at broen skulle fjernes, når byggeriet stod færdigt i 2018. det var det imidlertid ikke, så trafik-, bygge- boligstyrelsen forlængede tilladelsen frem til 1. maj 2019.55°40′22.12″n 12°34′45.5″ø

prinsens bro
prinsens bro (også kaldet tøjhusbroen) forbinder tøjhusgade med ny kongensgade over frederiksholms kanal. den første bro på stedet blev opført i 1682.55°40′27.2″n 12°34′39.3″ø

marmorbroen
marmorbroen er en buebro i forlængelse af ny vestergade/dantes plads og fører over frederiksholms kanal til christiansborg ridebane mellem to pavilloner.
den blev opført i årene 1739-1745 med nicolai eigtved som hovedarkitekt. den var oprindelig slottets hovedindgang og skulle derfor gøre indtryk på slottets besøgende. broen er beklædt i sandsten med medaillonudsmykninger af billedhuggeren louis-augustin le clerc og er belagt med norsk marmor. marmorbroen kostede 50.600 af de 2.700.000 rigsdaler, det kostede at bygge hele christiansborg slot.
hvor den lander på slotsholmen er den flankeret af to pavilloner smykket med skulpturarbejder, som skal give indgangspartiet en arkitektonisk helhed. ved indgangen var en gitterport i jern for at markere, at dette var hovedindgangen. porten blev fjernet i 1830'erne, da den begyndte at ruste.
broen har været renoveret adskillige gange. den seneste gennemgribende restaurering foregik i perioden 1970-95 ved arkitekt erik hansen.55°40′29.6″n 12°34′36.37″ø

stormbroen
stormbroen er en lille buebro opført i sten, der forbinder stormgade (mod tietgensgade) med vindebrogade (mod christiansborg slotsplads). den er opkaldt efter stormen på københavn i 1659. de svenske styrker satte deres hovedangreb ind ved netop her, hvor byvolden lå. det var her, at det endelig lykkedes at slå svenskerne. de efterlod sig 2.000 døde soldater foran volden ved stormgade.
forskellige kilder oplyser, at broen oprindeligt blev opført i 1681, men på broens sider er teksten ""opført mdclx"" mejslet ind i broens stenfundament. den nuværende bro er opført i 1918 efter et projekt af martin nyrop fra 1898.
afstanden mellem broen og nybrogade svarer omtrent til længden på havnerundfartens både, hvilket betyder, at de har svært ved at passere under broen, når de sejler ad frederiksholms kanal ind til gammel strand. skipperne må manøvrere for at få drejet deres både 90° efter stormbroen.
55°40′32.2″n 12°34′33.6″ø

røde bro (nedlagt)
efter opførelsen af prinsens bro og stormbroen blev der bygget en bro ud for knabrostræde over til slotsholmen. broen hed røde bro, men blev bare kaldt ""den nye bro"", og den har givet navn til nybrogade. broen blev revet ned i 1726. 55°40′35.04″n 12°34′36.3″ø

højbro
højbro er en buebro i støbejern, der forbinder højbro plads med slotsholmen. i den gamle kystlinje, der fulgte fortunstræde til kongens nytorv, var der en lille vig, hvor højbro plads nu ligger. det gamle stednavn gammelbodehavn (mellem kulturministeriet og højbro) fortæller, at her lå byens ældste handelsboder. på dette sted, har der været en bro helt tilbage til middelalderen. den nuværende bro blev bygget i 1878 og er tegnet af vilhelm dahlerup. murerarbejdet er udført af christian peter wienberg. holmens bro og børsbroen var også oprindeligt udformet af dahlerup, men højbro er nu den eneste tilbageværende af hans broer. den blev udvidet til sin nuværende bredde i 1960'erne.ved højbro blev der på bunden af slotsholmskanalen i 1992 placeret en bronzeskulpturgruppe af suste bonnén med forbillede i folkevisen om agnete og havmanden.i 2010 blev der målt 2.500 køretøjer og 3.200 cykler (ådt).55°40′39.4″n 12°34′47.6″ø

holmens bro
holmens bro er en buebro i granit, der forbinder christiansborg slotsplads med holmens kanal. den nuværende bro blev opført i 1951, til afløsning for vilhelm dahlerups bro fra 1878.
55°40′35.9″n 12°34′56.8″ø

børsbroen
børsbroen er en buebro, der går fra havnegade til et kryds med børsgade udfor børsen, som den er opkaldt efter. den nuværende bro er fra 1933 og erstattede den oprindelige bro fra 1880, der lå mellem havnegade og arealet ved siden af børsen, der dengang var en del af den nu forsvundne christiansgade. den oprindelige bro var ligesom højbro og børsbroen tegnet af vilhelm dahlerup og blev benyttet til at føre jernbanesporet fra københavns havnebane over slotsholmskanalen.55°40′33.4″n 12°35′5.0″ø

christian iv's bro
christian iv's bro fører over den yderste ende af slotsholmskanalen og forbinder christians brygge med niels juels gade.
broen blev indviet i 1961, og gjorde det muligt at føre trafikken langs med havnen ad christians brygge, under knippelsbro og ad niels juels gade videre til kongens nytorv.
i 2014 blev der målt 14.500 køretøjer og 2.300 (ådt).københavns kommune gennemførte i 2015 en renovering af broens over- og underside. foruden en fornyelse af kørebanen, etablerede man nyt fortov og cykelsti.55°40′32.0″n 12°35′14.1″ø

knippelsbro
klapbroen knippelsbro forbinder slotsholmen med christianshavn ved at føre børsgade over christians brygge og inderhavnen til torvegade.
den første bro på stedet blev opført under christian 4. i 1618-20. den blev kaldt for ""knippensbro"" efter hans knip, der i 1641 blev den første bropasser, men skiftede senere til det nuværende navn. den nuværende bro blev opført i 1937 med kaj gottlob som arkitekt og blev fredet i 2007.den er alene om at forbinde indre by med christianshavn, hvorfor den har en ret stor trafikmængde med årsdøgnstrafik i 2014 på 22.200 køretøjer og 35.000 cykler.55°40′29″n 12°35′14″ø

kilder
se også
slotsholmen
absalon - københavns historie på nettet

eksterne henvisninger
absalon.nu – københavns historie på nettet arkiveret 19. oktober 2020 hos  wayback machine
eremit.dk – kilder til københavns historie, online samling af ældre litteratur om københavn."
e79097e9,2020-02-04,Dansk Wikipedia,Kvindefestival '74,"kvindefestival '74 er en dansk dokumentarfilm fra 1975, der er instrueret af janne giese efter manuskript af hende selv og henning camre.

handling
en reportagefilm om verdens første kvindefestival i københavn i 1974. den var arrangeret af rødstrømpebevægelsen og havde til formål at kontakte og informere et langt bredere udsnit af befolkningen end hidtil. repræsenteret i filmen er: fagbevægelsen, dansk demokratisk kvindeforbund, rødstrømpebevægelsen, lesbisk bevægelse, frauenrock  og solvognen.

referencer
eksterne henvisninger
kvindefestival '74 på filmdatabasen"
e6378816,2017-04-19,The Wikipedia Journal,Artillerimagasin,"denne artikel bør gennemlæses af en person med fagkendskab for at sikre den faglige korrekthed.
artellerimagasiner er et sted til opbevaring af ammunition til artelleri.
artillerimagasiner blev bl.a. bygget på vestvolden (en del af københavns befæstning). de blev brugt til opbevaring af kanoner tæt på batterierne i fredstid, så de ikke var udsat for vind og vejr. artillerimagasinerne blev bygget flere steder langs volden. koordinaterne viser artillerimagasinet ved hvissinge batteri på voldlinje xii-viii i rødovre (espelundens idrætsanlæg).
i dag bruges netop dette artillerimagasin af projekt vestvolden til undervisning om vestvolden.

eksterne kilder/henvisninger
projekt vestvolden under rødovre kommune (webside ikke længere tilgængelig)"
e6b5d30d,2018-04-19,Wikipedia News,Københavns Vandværk,"københavns vandværk, beliggende studiestræde 54 mellem studiestræde, hammerichsgade, deloitte-huset og den tidligere bygning for studenterforeningen ved h.c. andersens boulevard, er danmarks ældste vandværk, etableret 1859. anlægget blev i 2007 udpeget til nationalt industriminde af kulturarvsstyrelsen og fredet i 2010.
værket blev opført som en af de første bygninger uden for voldene og lå i en tidligere ravelin, der har givet grunden sin form. en komité, der skulle foreslå fornyelser af stadens vandforsyning, var nedsat i 1847, men koleraepidemien i københavn 1853 blev den direkte anledning til, at borgerrepræsentationen beordrede det nye vandværk bygget. værket bestod af et overflade- og grundvandsanlæg samt en højdebeholder i søndermarken (nu kendt som cisternerne). det engelske firma cochrane & co. fik entreprisen, og den 16. maj 1857 nedlagde brygger j.c. jacobsen værkets grundsten. vandværket blev indviet den 9. august 1859 og kunne præstere 300 hestekræfter.
selve vandværkets bygninger er tegnet af n.s. nebelong i rundbuestil. anlægget er ombygget 1875, 1886-1889 og 1951 og gik ud af aktiv drift sidstnævnte år. værkets maskinhus har siden 1986 været nu spillestedet pumpehuset, og den oprindelige engelskproducerede dampmaskine findes på danmarks tekniske museum.
allerede få år efter opførelsen, i 1875, måtte værket udvides, fordi befolkningstilvæksten i hovedstaden var høj. værket fik to dampkedler. det havde da 8 dampkedler og 6 dampmaskiner. næste udvidelse, i 1886-89, gav værket yderligere 3 dampkedler.
de egentlige vandværksbygninger ligger centralt på grunden omgivet af boliger, kontorbygninger og vagtstue. alle bygninger er grundmurede i gule mursten med skifertag, men boligerne og kontorbygningerne er finere og mere dekorerede.
maskinhuset fra 1859 er den centrale dominant i anlægget. det er en klassisk halbygning i to etager med sadeltag og rundbuede vinduer. kedelhuset er bygget sammen med maskinhuset, men er en etage lavere og ligger en anelse forskudt. facadeudformningen og udsmykningen af murværket er identisk med maskinhusets. begge husets gavle brydes af tre rundbuede vinduer. kulhuset er en mindre enetages bygning, der ligger vinkelret på kedelhuset. i knækket mellem de to bygninger står anlæggets skorsten fra 1930, der oprindelig var 43 meter høj, men af sikkerhedshensyn blev forkortet med 10 meter i 1972.
de resterende huse, som alle er i enten én eller to etager, er fordelt rundt om procesbygningerne: direktørboligen, maskinmesterboligen, portnerboligen i bindingsværk (1887 af ludvig fenger) og tre kontorbygninger, hvoraf den yngste er fra 1951.

kilder og eksterne henvisninger
beskrivelse hos kulturarvsstyrelsen – 25fantastiske
beskrivelse hos kulturarvsstyrelsen
guide til anlægget (pdf)"
e638be40,2017-04-21,Dansk Wikipedia,Bianco Lunos Bogtrykkeri,"bianco lunos bogtrykkeri a/s var et dansk bogtrykkeri, der blev grundlagt i københavn i 1831 som ""bianco luno & schneider"" af bianco luno og f.w. schneider. i årene 1909 til det i 1998 blev overtaget af levison+johnsen+johnsen a/s, var trykkeriet ejet af carl allers etablissementer/aller press.
bogtrykkeriet blev hurtigt kendt for kvalitetsmæssigt godt arbejde og luno blev i 1847 kongelig hofbogtrykker. det var på bianco lunos bogtrykkeri, at personer som h.c. andersen og søren kierkegaard fik trykt deres bøger og historisk tidsskrift blev også trykt her.

litteratur
robert pedersen, bianco luno : skildringer af mennesker og miljø i og omkring et københavnsk bogtrykkeri 1831-1991, bianco lunos bogtrykkeri, 1991. isbn 87-7720-318-6."
e638bf99,2017-04-22,The Wikipedia Journal,En Vandring i Kongens København,"en vandring i kongens københavn er en dansk dokumentarfilm fra anslået 1940, der er instrueret af axel ørsted.

handling
filmen tager seerne med til en række københavnske steder og seværdigheder. fra ankomst på hovedbanegården, forbi lurblæserne, nyboders gule huse, marmorkirken, gutenberghus (nu egmont), rosenborg, regensen, gammeltorv med caritasbrønden, nytorv med det gamle rådhus (nu københavns byret), amagertorv og fisketorvet med de mange fiskekoner, christiansborg set fra frederiksholms kanal, børsen og privatbanken, en knejsende knippelsbro, blomstertorvet, botanisk have med det rige fugleliv, købmagergade med rundetårn, landbohøjskolen, frederiksberg have og diverse gader og stræder. fra små, trange baggårde over byens mange tårne til mylderet på rådhuspladsen.

referencer
eksterne henvisninger
en vandring i kongens københavn på filmdatabasen"
e7b2b714,2020-05-07,Wikipedia News,Københavns Toldbod,"københavns toldbod, oftest blot kaldet toldboden var et stort område i københavn langs havnen ved bomløbet, hvortil toldvæsenet flyttede i 1630. det kom senere til at befinde sig mellem kastellet og frederiksstaden. de fleste bygninger blev revet ned 1973, og af dette anlæg eksisterer i dag kun nordre toldbod.
toldhavnens samlede vandareal var omkring år 1900 ca. 570 tønder land. af havnepladserne nævnes nordre toldbodplads, hvis granitlandingstrapper (""kongetrappen"") er opført 1846-48, mens pladsens regulering først fuldendtes 1867-69. de to opholdspavilloner fra 1905 er tilskrevet osvald rosendahl langballe. nordre toldbod har igennem historien været stedet, hvor udenlandske fyrstelige og statsoverhoveder er blevet modtaget, hvis de er ankommet med skib til københavn. der var også her, at thorvaldsen blev modtaget ved sin hjemkomst til danmark 1838.
søndre toldbodplads, i hvilken der indtil 1782 skar en nu opfyldt kanal, (""det røde hav"") blev 1869 betydeligt udvidet ved erhvervelsen af et areal ud mod amaliegade (""lille kjøbenhavn"", hvor der stod en del efter branden 1795 opførte enetages huse for fattigfolk, og som hørte under fattigvæsenet siden 1820. den samlede bolværkslængde i toldhavnen var ved begyndelsen af 1905 ca. 68.000 fod, hvoraf ca. 37.000 tilhørte københavns havnevæsen, ca. 4.700 københavns kommune, ca. 1.500 staten og ca. 24.000 private, deraf ca. 17.000 ved offentlig vand og 7.000 ved private vandbassiner.

indgangen til nordre toldbodplads er for enden af esplanaden (tidligere toldbodvej) forbi den tidligere, nedenfor omtalte frilagerbygning gennem en gitterport, på hvis to piller der hviler to løver. inden for porten findes på hver side en lav arkadebygning, opført 1856 af arkitekt g.f. hetsch, der benyttedes af toldvæsenet. på vestsiden af pladsen ligger den 1868 fuldendte havnevæsenets bygning, der er opført efter tegninger af arkitekterne vilhelm dahlerup og frederik bøttger og består af en 3 etager høj midtbygning med to meget lavere sidepartier samt en i 1901 opført tilbygning mod vest. bygningen blev respektfuldt forhøjet med en etage af arkitekt einar madvig i 1938-39.
førstnævnte rummede toldlokaler, telegrafstation kontorer for havne, told og færgevæsen mm. mod esplanaden og langelinie afgrænses pladsen af et højt jerngitter, gennem hvilket en gitterport fører ud til esplanaden. på de hule portpiller, hvori der fandtes lokaler for toldvagten, er der anbragt to zinkstatuer af neptun og merkur udført af c.c. peters. på sydsiden af pladsen ved indgangen til søndre toldbodplads lå den gamle 1733-35 opførte toldkammerbygning med halvrund fronton og arkade, tegnet af j.c. krieger i barokstil. i frontespicen fandtes et brystbillede af christian vi, som nu er flyttet til en mur i ny toldbodgade. toldbodsbygningen blev revet ned i 1891 og gav plads for den nedennævnte frilagerbygning.

den nye toldkammerbygning på den oven for omtalte lille kjøbenhavns grund ud til amaliegade blev påbegyndt 1872 og fuldendt 1875 efter tegninger af arkitekt vilhelm petersen. bygningen var stilistisk inspireret af italienske middelalderfæstninger, opført af røde mursten og bestod af 4 sammenhængende fløje, der indesluttede en lille gård. den forreste og bageste fløj var i 2 stokvværk, og i fløjen ud til amaliegade, der havde et tårn med ur, fandtes bl.a. toldkasserer og kreditoplagskassererkontoret, i bageste fløj var bl.a. pakhusforvalterkontoret. sidefløjene optoges af de to ca. 1.500 kvadratalen store toldklareringslokaler henholdsvis for grove og fine varer. på hver side af den med jerngitter indhegnede plads ud til amaliegade var der perroner, hvorfra varerne blev udleveret.
i stedet for den ældre toldkammerbygning opførte finansministeriet på hjørnet af amaliegade og esplanaden i 1891-94 frilagerbygningen efter tegning af arkitekt albert jensen på et ca. 10.000 kvadratalen stort areal (et frilager havde samme funktion som en frihavn). på en høj granitsokkel rejste bygningen sig af røde mursten med bånd, gesimser og indfatninger dels af sandsten, dels af grå mursten. den var i fritbehandlet renæssancestil og bestod af 5 fløje, en hovedbygning, kælder og 3 stokværk ud til esplanaden flankeret af to mangekantede tårne og to lavere fløje. de 2 stokværk, henholdsvis ud til amaliegade og til havnen, var forbundne med hovedbygningen ved mellemliggende tværfløje. fløjen ud til havnen havde et markant indgangsparti, hvor frontonen fra den gamle barokbygning var genbrugt. komplekset, der kunne rummer ca. 320 udlejelokaler, kostede med terrænets ordning ca. 1 mio. kr. (1905-kroner).
i 1910 tilkom endnu en bygning, nemlig toldgodspostbygningen, tegnet af martin borch og opført i røde mursten på hjørnet af amaliegade og ny toldbodgade.

af andre bygninger på søndre toldbodplads kan nævnes de store pakhuse, således vestindisk pakhus, opført 1780-81 for vestindisk kompagni af arkitekt c.f. harsdorff. det huser nu den kongelige afstøbningssamling. pakhuset har et tårn med altan, hvorfra der er vid udsigt. et gavlværelse, der benyttedes af kompagniets direktion er bevaret i sin oprindelige skikkelse, og et vistnok uhjemlet sagn vil vide, at kronprins frederik (vi) herfra overværede slaget på reden. dertil kommer grønlandske handels gule pakhus (1777-79 af georg erdman rosenberg, brændt 1975 og genopført af hans munk hansen) og kieler pakhus (1777-78, også af harsdorff, brændt 1891 og genopført) samt et pakhus tegnet af dahlerup 1882 (nedrevet). ved søndre toldbod lå også en karantænestation tegnet af vilhelm dahlerup.
i 1973 blev næsten alle bygninger på området revet ned, og kun dahlerups havnebygning og hetschs buegange blev bevaret. toldkammeret, karantænestationen, frilagerbygningen og toldgodspostbygningen blev revet ned. størstedelen af det store areal blev solgt til a.p. møller-mærsk, der lod sit modernistiske hovedsæde opføre her 1974-79 ved arkitekt ole hagen, mens resten af arealet ved amaliegade og ny toldbodgade blev bebygget af staten med et nyt trefløjet anlæg til toldvæsenet, tegnet af eva og nils koppel og færdiggjort 1979. bygningen huser i dag energistyrelsen. på dette anlæg blev den gamle barokfronton fra den nedrevne frilagerbygning genopsat over nedkørslen til parkeringskælderen.
i 2003-04 blev mærsks eksisterende kompleks udvidet med en fløj mod amaliegade tegnet af henning larsen. ved den lejlighed blev et par træer fældet, der stammede fra 1700-tallet fra den gamle botaniske have, der lå i amaliegade.
toldboden er også navnet på en restaurant i bydelen.

litteratur
herman andersen: kjøbenhavns toldbod fra de ældste tider indtil vore dage, foreningen af toldembedsmænd, københavn 1915.
a.e. grønvold: københavns toldsted i den nyere tid. [artikel]. i: det danske toldvæsen. red. af herm. andersen m.fl. arthur jensens forlag, københavn 1932, s 106-131.
jens bruhn & gunnar jakobsen: københavns toldbod – set på grafiske blade, direktoratet for toldvæsenet, københavn 1979.
knud jensen: rundt omkring på københavns toldbod i mellemkrigsårene. zise. toldhistorisk tidsskrift. 3. årg. 1/1980, s. 3-17. [se artiklen på www.zise.dk].
mogens lau: københavns toldbods forvandling gennem 100 år. zise. told- og skattehistorisk tidsskrift. 33. årg. 1/2010, s. 4-22, ill. se artiklen på www.zise.dk.

kilder
trap: danmark. bind i: indledende beskrivelse af danmark, kjøbenhavn og frederiksberg"
e7b2c1e9,2020-05-07,Wikipedia News,Anthon Berg,"anthon berg a/s er en dansk chokoladeproducent, der er mest kendt for sine marcipanbrød. i dag er det et varemærke under toms.

historie
med sit eget navn som varemærke oprettede anthon berg en urtekræmmerbutik på gammel strand i københavn. i 1884 opkøbte han en konfektureforretning, da hans eget salg gik mindre godt. med i købet fulgte en konditor, der med sønnen gustav berg som assistent fik gang i en produktion af fyldte dessertchokolader.
marcipanbrødet kom til med et ønske fra anthon berg om at forkæle de ventende kunder, hvorved han startede med at give små marcipanfyldte chokolader til de kunder, der stod i kø. i 1898 blev det sat i produktion som selvstændig vare.
i 1901 overtog sønnen forretningen og øgede produktionen støt, hvorved den blev landsdækkende og fik en fabrik med ca. 200 ansatte. i 1938 døde også gustav berg, og næste generationsskifte blev foretaget, således at kai berg blev direktør. i 1954 købte toms (victor b. strand) virksomheden, der på dette tidspunkt lå i teglværksgade på østerbro. i 1962 blev hele produktionen samlet på toms' anlæg i ballerup tegnet af arne jacobsen.
prædikatet ""leverandør til det kongelige danske hof"" blev tildelt anthon berg a/s i 1957.

produkter
anthon bergs produktion består udover marcipanbrødene, der findes i fire udgaver 

marcipan classic
marcipan nougat
marcipan cognac
marcipan whiskey
marcipan extra dark
grand cru – en æske med små chokolader fremstillet af bønner fra venezuela i tre forskellige varianter
fyldte chokolader – æsker med blandede fyldte chokolader
marcipan tærter – tærter af marcipan overtrukket med chokolade, findes i seks smagsvarianter
blomme i madeira
jordbær i champagne
drue i muscatvin
abrikos i brandy
blåbær i vodka
hindbær i orange likør
origins – fire forskellige chokolader i plader lavet af bønner fra forskellige dele af verden, alle med høj kakaoprocent
ghana 60%
equador 72%
new guinea 72%
venezuela 44%udover disse produkter findes der en række påske- og julevarer.
i samarbejde med toms og polar is er en anthon berg islagkage også kommet i produktion.
nye chokoladeæsker med design af isabell kristensen findes også.

eksterne link
anthon bergs hjemmeside"
e78952a5,2020-01-13,Wikipedia News,Slaget om Ryesgade,"slaget om ryesgade udsprang sig i september 1986, hvor en gruppe unge havde besat hus i ryesgade 58 på østerbro i københavn og barrikaderet gaderne omkring huset, barrikader som de unge holdt i flere dage og efter forhandlinger opgav.

baggrund og slaget
ryesgade 58 havde inden besætterne flyttede ud været beboet af dem igennem tre et halvt år, det blev besat 1. juni 1983. der blev forsøgt at forhandle sig til en løsning for huset bevarelse som såkaldt bz-kollektiv, men de kunne ikke komme til enighed med boligselskabet ungbo der ejede bygningerne eller københavns kommune. ungbo valgte at anmelde husets beboere og kræve at huset blev ryddet, derfor fik beboerne en frist af politiet og kommunen til den 14. september om eftermiddagen at flytte ud af huset.
bz'erne og unge svarede igen med at barrikadere kvarteret omkring huset, imens politiet var optaget af en demonstration som gik rundt i byen til støtte for det rydningstruede hus, og fra den 14. september til den 22. september blev den døgnbemandede barrikade forsvaret af de unge bz'ere og andre unge støttere fra københavn.
i erkendelse af situationen og det faktum, at de unge mente, at der var lagt i ovnen til ren nedslagtning af dem fra politiets side, når disse ville rømme huset, valgte bz'erne at foretage et ""ordnet tilbagetog"". det kampklædte politi fandt stedet tomt, da de kom for at rydde det. de unges hensigt var at gøre politi og politikere til grin, samtidigt med at de mente, at de på denne måde selv kunne bestemme, hvornår de ville slås og med hvem.

tidslinje
12. september - ungbo forlanger tømning af ryesgade 58 seneste søndag d. 14 om eftermiddagen. bz indkalder til demonstration fra rådhuspladsen og til huset om søndagen kl 14.
14. september - demonstration fra rådhuspladsen, som ender ved de nyoprettede barrikader. gadekampe mellem barrikade aktivister og politi.
15. september - ungbo politianmelder og kræver huset ryddet. den borgerlige presse langer ud efter bz'erne, og det kommer til voldsomme gadekampe igen.
16. september - de unge bz'ere og aktivister beskyldes i den borgerlige presse for terrorisme. politiet forsøger via røde kors' kontor i ryesgade 53 at komme ind bag barrikaden. om aften giver savage rose koncert på barrikaderne.
17. september - kim larsen og co. tilbyder egon weidekamp og københavns kommune at købe huset mod overdragelse til kommunen, mod at bz'erne kan blive der på egne betingelser, den såkaldte himmelblå-løsning.
18. september - weidekamp og københavns kommune afviser tilbuddet på borgerrepræsentationsmødet om aften, samtidigt med at der demonstreres udenfor rådhuset for en løsning. bz'erne erklærer, at de bliver på barrikaderne til deres krav opfyldes.
19. september - politiet erklærer kvarteret i undtagelsestilstand, alle, som forsøger at komme ud og ind, anholdes straks. initiativet ""støt den himmelblå"" bliver stiftet. parolen ""hellere dø stående end leve på knæ"" bliver første gang brugt.
21. september - der afholdes støttedemonstrationer flere steder i landet til støtte for det besatte hus.
22. september - efter forhandlinger med kommunen bliver erklæret et dødsprojekt, vælger de unge at forlade huset; de vil selv vælge, hvornår de vil slås. der bliver indkaldt til pressemøde kl. 21, men politiet finder til stor overraskelse ingen bz'ere, da de vil rydde huset.

henvisninger
hellere dø stående end at leve på knæ - slaget om ryesgade, udgivet af kommunistisk ungdomsforbund 1986, på forlaget arbejderen, isbn 87-87862-77-8
dfi.dk arkiveret 25. juli 2011 hos  wayback machine's listeforslag til undervisning materiale om bz mere generelt."
e7896ae0,2020-01-13,Wikipedia News,J.C. Modeweg & Søn,"j.c. modeweg & søn a/s var en dansk klædefabrik, der eksisterede fra 1810-1956.

historie
j.c. modeweg (1782-1849) overtog i 1810 et dugmagerværksted i københavn. i 1831 var han medkøber af brede værk (oprettet som kornmølle, der nævnes i det 14. århundrede, i 1628 omdannet til krudtmølle og ca. 1668 til et kobberværk af henr. ehm) og blev i 1835 eneejer. i 1839 optog han sin søn, j.e. modeweg (1813-1869) som kompagnon. dennes enke fortsatte driften til 1872, da hun solgte brede til carl albeck (1830-1905) og william salomonsen (1842-1900). den førstnævnte udtrådte i 1879, og w. salomonsen optog i 1887 edmund daverkosen (1854-1918) og carl c. jensen (1853-1922) som associés. i 1895 omdannedes firmaet til et aktieselskab med de to sidstnævnte som adm. direktører. 
i mellemkrigstiden udviklede j.c. modeweg & søn sig til en af landets største klædefabrikker, men 1956 blev fabrikken nedlagt og bygningerne tre år senere overtaget af staten og overdraget nationalmuseet. fra 1919 til 1951 var h.w. jacobæus (1881-1974) direktør, og i året 1950 nævnes d.g. andrés (1896-?) som direktør. firmaet blev likvideret og dets arkiv overdraget til erhvervsarkivet.
j.c. modeweg & søn's fabrikation omfattede hel- og halvuldne klædevarer. firmaet havde adresse på gammel mønt 12 i københavn og brede pr. lyngby, hvor fabrikken var opført 1943 efter tegninger af svenn eske kristensen.

se også
dansk hattefabrik

litteratur
kay larsen: j.c. modeweg & søn, aktieselskab: brede klædefabrik 1810-1935, 1935.

kilder
danmarks ældste forretninger 1100-1911, kraks forlag 1950"
e7896af8,2020-01-13,Wikipedia News,Serridslev,"ikke at forveksle med serritslev.serridslev var en landsby, som havde jorder, hvor østerbro og nørrebro i dag ligger, men man ved ikke, hvor selve landsbyen var placeret. serridslev nævnes første gang i et dokument fra 1186, hvor pave urban 3. godkender at biskop absalon skænker en række landsbyer (heriblandt havn og serridslev) til roskilde domkirke. landsbyen blev nedlagt i 1523, og københavn overtog dens jorder.[kilde mangler]under navnet serritslev lader johannes v. jensen sin historiske roman kongens fald begynde ved serritslev: ""vejen bøjede tilvenstre over en bro og ind gennem serritslev by"".
landsbyen er som ""serretslev"" vist på kortet topographia hafniæ 1520 der er gengivet i erich pontoppidans bog origines hafniensis eller den kongelige residentz-stad kiøbenhavn fra 1760.
her angives landsby til at ligge umiddelbart udenfor nørreport.
som ""serritslev"" er landsby også at se i forgrunden på kobberstikket hafnia anno 1520, der også er angivet i pontoppidans bog.


== kilder =="
